# rho_grid_gcc rho_cdf
7.838156417461741299e-01 1.266950390582791083e-05
7.839148206951093156e-01 1.270283620468627731e-05
7.840139996440445014e-01 1.273619604211663047e-05
7.841131785929796871e-01 1.276958383574927477e-05
7.842123575419148729e-01 1.280300000437190218e-05
7.843115364908499476e-01 1.283644496790313426e-05
7.844107154397851334e-01 1.286991914736615573e-05
7.845098943887203191e-01 1.290342296486195837e-05
7.846090733376555049e-01 1.293695684354281536e-05
7.847082522865906906e-01 1.297052120758556754e-05
7.848074312355258764e-01 1.300411648216485210e-05
7.849066101844610621e-01 1.303774309342627193e-05
7.850057891333962479e-01 1.307140146845951425e-05
7.851049680823313226e-01 1.310509203527134712e-05
7.852041470312665083e-01 1.313881522275879905e-05
7.853033259802016941e-01 1.317257146068187096e-05
7.854025049291368799e-01 1.320636117963656494e-05
7.855016838780720656e-01 1.324018481102771486e-05
7.856008628270072514e-01 1.327404278704177458e-05
7.857000417759424371e-01 1.330793554061958920e-05
7.857992207248776229e-01 1.334186350542909521e-05
7.858983996738126976e-01 1.337582711583796642e-05
7.859975786227478833e-01 1.340982680688639876e-05
7.860967575716830691e-01 1.344386301425950043e-05
7.861959365206182548e-01 1.347793617425999368e-05
7.862951154695534406e-01 1.351204672378073372e-05
7.863942944184886263e-01 1.354619510027721060e-05
7.864934733674238121e-01 1.358038174174004779e-05
7.865926523163588868e-01 1.361460708666740577e-05
7.866918312652940726e-01 1.364887157403759926e-05
7.867910102142292583e-01 1.368317564328127886e-05
7.868901891631644441e-01 1.371751973425397369e-05
7.869893681120996298e-01 1.375190428720848656e-05
7.870885470610348156e-01 1.378632974276722141e-05
7.871877260099700013e-01 1.382079654189459039e-05
7.872869049589051871e-01 1.385530512586934972e-05
7.873860839078403728e-01 1.388985593625697288e-05
7.874852628567754476e-01 1.392444941488194927e-05
7.875844418057106333e-01 1.395908600380030473e-05
7.876836207546458191e-01 1.399376614527170707e-05
7.877827997035810048e-01 1.402849028173197647e-05
7.878819786525161906e-01 1.406325885576543321e-05
7.879811576014513763e-01 1.409807231007723701e-05
7.880803365503865621e-01 1.413293108746578219e-05
7.881795154993216368e-01 1.416783563079506407e-05
7.882786944482568225e-01 1.420278638296721478e-05
7.883778733971920083e-01 1.423778378689472061e-05
7.884770523461271940e-01 1.427282828547300857e-05
7.885762312950623798e-01 1.430792032155287722e-05
7.886754102439975656e-01 1.434306033791300703e-05
7.887745891929327513e-01 1.437824877723243013e-05
7.888737681418679371e-01 1.441348608206313218e-05
7.889729470908030118e-01 1.444877269480256107e-05
7.890721260397381975e-01 1.448410905766638801e-05
7.891713049886733833e-01 1.451949561266092989e-05
7.892704839376085690e-01 1.455493280155599503e-05
7.893696628865437548e-01 1.459042106585753591e-05
7.894688418354789405e-01 1.462596084678046111e-05
7.895680207844141263e-01 1.466155258522139133e-05
7.896671997333493120e-01 1.469719672173156112e-05
7.897663786822843868e-01 1.473289369648964265e-05
7.898655576312195725e-01 1.476864394927489481e-05
7.899647365801547583e-01 1.480444791943990397e-05
7.900639155290899440e-01 1.484030604588381603e-05
7.901630944780251298e-01 1.487621876702542451e-05
7.902622734269603155e-01 1.491218652077634164e-05
